,smiles,probs
116,C(NCC=C1CCCC1)C2=CC=CC=C2,1.0
117,O(CC=1C=C2C(=CC1)OCCN2CCCOC)[C@@H]3[C@]([C@H](NC)CNC3)(C4=CC=C(O[C@@H]5CN(CC5)C6=CC(F)=CC=C6)C=C4)[H],0.9999994
118,O(CC=1C=C2C(=CC1)OCCN2CCCOC)[C@@H]3[C@H](C[C@@H](CC(C(N(C)C)=O)(C)C)NC3)C4=CC=C(OC)C=C4,1.0
119,[C@H](OS(C)(=O)=O)([C@@]1(N(CC2=CC=C(OC)C=C2)[C@@H](CC3=CC=CC=C3)C(=O)N(OCOC)C1=O)[H])C4=CC=C(F)C=C4,0.99998236
120,CC1=C(N2[C@H]3C[C@@H](C2)N(C)C3)C=CC(NC=4N=C(C=CN4)C5=CC=C(NS(C)(=O)=O)C=C5)=C1,0.99945146
121,N([C@H](C(NCCCOCC)=O)CC(C)C)C1=NC(N2C=3C(N=C2)=CC=CC3)=NC(CCCCCC)=C1,1.0
122,C(C(N[C@H](C(O)=O)C)=O)N1C(=O)[C@@H](NC([C@H](CC2=CC=CC=C2)N)=O)CCC1=O,0.99995565
123,O=C1C(=C(O)C=2C(C1(CCCCC(C)(C)C)C)=CC=CC2)C=3NC=4C(S(=O)(=O)N3)=CC=CC4,0.99999917
124,C(CCCOC)C1=C(OC)C=CC(C[C@@H](C[C@@H]([C@H](C[C@H](C(NC[C@@H]2CCCO2)=O)C(C)C)O)N)C(C)C)=C1,0.99986935
125,C([C@@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@@H](CC1=CC=C(O)C=C1)C(N[C@H](C(NCC(O)=O)=O)CCC(O)=O)=O)=O)CS)=O)C(C)C)=O)CCC(O)=O)=O)NC([C@@H](NC([C@H](CC2=CC=CC=C2)NC([C@@H](NC([C@H](CC3=CC=CC=C3)NC(CNC([C@H]([C@H](CC)C)N)=O)=O)=O)CS)=O)=O)CCC(O)=O)=O)C=4C=5C(NC4)=CC=CC5,1.0
126,[C@@H]([C@H]([C@H](C(N[C@H](C(NCC1=C(O)C=C(OC)C=C1)=O)CCC(OC)=O)=O)NCC2=CC=C(OC)C=C2)O)(CC3=CC=CC=C3)NC([C@@H](NC(OCC4=CC=CC=C4)=O)C(C)C)=O,1.0
127,N(C(NC1=CC=CC=C1)=O)C2=C(O)C=C(C#N)C=C2,0.99999297
128,N(C([C@H](NS(=O)(=O)C1=CC=CC=C1)C)=O)C=2SC(=NN2)C3=CC=C(Br)C=C3,0.9999995
129,C([C@H](CCNC(=N)N)N)(=O)N1CCCCC1,0.9999485
130,C([C@@H](C(N[C@@H](CC=1C=2C(SC1)=CC=CC2)C(N)=O)=O)NC(CP(C(CC3=CC=CC=C3)NS(=O)(=O)C4=CC=C(OC)C=C4)(=O)O)=O)(C5=CC=CC=C5)C6=CC=CC=C6,0.99990904
131,C(CNCC1=CC=CC=C1)(=O)N2CCCCC2,0.9995859
132,C(=O)([C@H]1N(C([C@H](CCSC)NC(C)=O)=O)CCC1)N2[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@H](C(N[C@@H](CC3=CC=C(O)C=C3)C(N[C@H](C(=O)N4[C@H](C(N)=O)CCC4)CO)=O)=O)CC(O)=O)=O)CCC(O)=O)=O)CC(O)=O)=O)C)=O)CCC2,1.0
133,C(CCNC(=O)C1=CC=C(C)C=C1)(=O)N2[C@H](C(N)=O)CCC2,1.0
134,[C@H]([C@@H]([C@H]([C@@H](OCC1=CC=C(Br)C=C1)COCC2=CC=CC=C2)O)O)(OCC3=CC=C(Br)C=C3)COCC4=CC=CC=C4,0.9999993
135,C(O)(=O)[C@H]1[C@]2(O[C@@](O)(C[C@@H]1O)C[C@@H](O)C[C@@H](O)[C@H](O)CC[C@@H](O)C[C@@H](O)CC(=O)O[C@@H](C)[C@H](C)[C@H](O)[C@@H](C)C=CC=CC=CC=CC=CC=CC=C[C@H](O[C@H]3[C@@H](O)[C@@H](N)[C@H](O)[C@@H](C)O3)C2)[H],0.99999607
136,[C@H](OS(C)(=O)=O)([C@@]1(N(CC2=CC=C(OC)C=C2)[C@@H](CC(C)C)C(=O)N(OCOC)C1=O)[H])C3=C(F)C=CC=C3,0.9998124
137,C(NC(C)(C)C)(=O)[C@H]1N(C[C@H](CN(S(=O)(=O)C2=CC(N(=O)=O)=CC=C2)CC(C)C)O)C[C@@]3([C@](C1)(CCCC3)[H])[H],0.99991035
138,[C@H](OS(C)(=O)=O)([C@@]1(N(CC2=CC=C(OC)C=C2)[C@@H](CC(C)C)C(=O)N(OCOC)C1=O)[H])C3=CC=C(OC)C=C3,0.9994956
139,[C@@H]([C@H]([C@H](C(N[C@H](C(NCC1=CC=CC=C1)=O)C(C)C)=O)NCCC2=CC=C(O)C=C2)O)(CC3=CC=CC=C3)NC([C@@H](NC(OCC4=CC=CC=C4)=O)C(C)C)=O,1.0
140,C(N1C(C(O)=O)=C(CC)N=C1CCC)C2=CC=C(C=C2)C=3C(C(O)=O)CCN(C(C(CCC)C4=CC=CC=C4)=O)CC3,0.9999577
141,C(C(P(=O)(O)O)N)C1=CC=C(O)C=C1,0.9998617
142,O(C1=C(OC=2C(C1=O)=C(O)C=C(O)C2)C3=CC(O)=C(O)C=C3)C4C(O)C(O)C(O)C(C)O4,0.99995816
143,CC1=C(N2[C@H]3C[C@@H](C2)N(C)C3)C=CC(NC=4N=C(C=CN4)C=5C=CC(=NC5)C=6NN=NN6)=C1,1.0
